eis_poll_nei17,county,district,emission_quant_fy22,emission_quant_fy23,emission_quant_diff_fy23_fy22,emission_quant_perdiff_fy23_fy22
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306
NOX,Tom Green,San Angelo,1.7183947357760436,1.990682356325087,0.27228762054904343,15.845464076452476
NOX,Frio,San Antonio,1.2876035430268329,1.4869000216943877,0.19929647866755484,15.478093373295543
NOX,Brazos,Bryan,2.6593419868384305,3.0611300296305695,0.401788042792139,15.108551091986719
NOX,Atascosa,San Antonio,1.7484017069166136,1.986756706710533,0.2383549997939194,13.632736621738339
NOX,Kerr,San Antonio,1.0269479976669686,1.1659058189780842,0.13895782131111556,13.531144870704399
NOX,Guadalupe,San Antonio,2.786315099387672,3.114139256822936,0.32782415743526405,11.765509130941709
NOX,Goliad,Corpus Christi,0.27054950850959447,0.3004800843733881,0.029930575863793607,11.062883103604744
NOX,Refugio,Corpus Christi,0.571706667526868,0.6343883109884869,0.06268164346161886,10.963951799402981
NOX,Karnes,Corpus Christi,0.735186415504589,0.8135996744859189,0.07841325898132989,10.665765488540973
NOX,Ector,Odessa,3.131195309705631,3.45058584709565,0.319390537390019,10.200275160096783
NOX,Midland,Odessa,3.811150154924527,4.196034606426868,0.38488445150234085,10.09890547096439
NOX,Andrews,Odessa,1.0276313133374027,1.130858395368442,0.10322708203103925,10.045147582725193
NOX,Winkler,Odessa,0.809612510548075,0.8897296875349795,0.08011717698690446,9.895743450489466
NOX,Loving,Odessa,0.5606443265957146,0.6148694851380483,0.054225158542333673,9.671935658672222
NOX,Jim Wells,Corpus Christi,0.8543578093315739,0.9358413733008324,0.08148356396925849,9.537404946647468
NOX,Upton,Odessa,0.40228123809915883,0.4404029095063776,0.03812167140721878,9.476373192881077
NOX,Van Zandt,Tyler,2.8033163804998105,3.0688613851157487,0.2655450046159382,9.472530694826302
NOX,Terrell,Odessa,0.06664770576511825,0.07282355661875334,0.00617585085363509,9.266411773272736
NOX,Kendall,San Antonio,0.8737168486000484,0.9509409291115186,0.07722408051147023,8.838570600441772
NOX,Limestone,Waco,0.5203643446260525,0.5648983828167728,0.044534038190720326,8.5582416725196
NOX,Bee,Corpus Christi,0.43297191357005194,0.4695630350299296,0.03659112145987764,8.451153599818303
