eis_poll_nei17,county,district,emission_quant_fy22,emission_quant_fy23,emission_quant_diff_fy23_fy22,emission_quant_perdiff_fy23_fy22,road_type_id,sut_fueltype_lab,vmt_mix_perdiff_fy23_fy22,vmt_fy22,vmt_fy23,vmt_mix_fy22_13_19,vmt_mix_fy23_13_21,emission_rate_calc_gm,emission_quant_fy22_gm,emission_quant_fy23_gm,emission_quant_diff_fy23_fy22_gm,vmt_diff_fy23_fy22
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,CLhT_Diesel,42.32,85421033.9,121573299.2,27.42,39.02,4.4,1030813.85,1467079.42,436265.57,36152265.3
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,CShT_Gas,42.32,946.18,1346.62,0.0,0.0,0.8,2.07,2.94,0.87,400.45
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,CShT_Diesel,42.32,7197665.13,10243892.59,2.31,3.29,3.66,72237.54,102810.22,30572.69,3046227.46
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,RT_Diesel,23.58,120951.88,149471.33,0.04,0.05,4.78,1582.98,1956.23,373.25,28519.45
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,MH_Diesel,23.58,182581.37,225632.54,0.06,0.07,4.9,2449.4,3026.95,577.55,43051.17
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,SUShT_Gas,23.58,1391658.08,1719799.49,0.45,0.55,0.18,686.9,848.87,161.97,328141.4
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,SUShT_Diesel,23.58,4344219.43,5368550.24,1.39,1.72,1.11,13210.05,16324.87,3114.82,1024330.81
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,SULhT_Diesel,23.58,6057630.11,7485968.92,1.94,2.4,0.86,14213.74,17565.22,3351.48,1428338.8
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,SULhT_Gas,23.58,1801185.63,2225890.22,0.58,0.71,0.14,679.2,839.35,160.15,424704.59
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,RT_Gas,23.58,3294.62,4071.46,0.0,0.0,3.49,31.54,38.97,7.44,776.84
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,MH_Gas,23.58,332668.45,411108.9,0.11,0.13,2.17,1973.77,2439.17,465.4,78440.45
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,RT_Diesel,17.88,81770.86,96389.85,0.05,0.06,4.92,1101.44,1298.35,196.91,14618.99
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,MH_Diesel,17.88,119216.15,140529.6,0.07,0.09,5.43,1772.44,2089.32,316.88,21313.45
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,SULhT_Gas,17.88,266351.53,313969.83,0.17,0.2,0.13,96.6,113.87,17.27,47618.3
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,SUShT_Gas,17.88,2026164.33,2388401.82,1.26,1.49,0.17,943.89,1112.63,168.75,362237.49
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,SUShT_Diesel,17.88,6324903.04,7455668.67,3.94,4.64,1.43,24859.96,29304.42,4444.46,1130765.64
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,SULhT_Diesel,17.88,895776.1,1055922.88,0.56,0.66,1.16,2839.67,3347.35,507.68,160146.78
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,RT_Gas,17.88,2227.36,2625.57,0.0,0.0,3.93,23.98,28.26,4.29,398.21
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,MH_Gas,17.88,217215.21,256048.93,0.14,0.16,2.22,1319.56,1555.47,235.91,38833.72
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,LCT_Diesel,9.27,311172.12,340008.46,0.19,0.21,2.42,2065.13,2256.5,191.38,28836.34
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,PT_Diesel,9.27,1902292.32,2078577.87,1.18,1.29,1.72,8983.91,9816.45,832.54,176285.54
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,LCT_Gas,9.27,4334307.7,4735968.25,2.7,2.95,0.51,6098.82,6663.99,565.18,401660.55
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,PT_Gas,9.27,44617533.47,48752242.96,27.79,30.36,0.42,51062.41,55794.37,4731.96,4134709.48
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,LCT_Diesel,9.0,367769.24,400886.63,0.12,0.13,2.05,2070.14,2256.55,186.41,33117.39
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,LCT_Gas,9.0,5122647.36,5583938.56,1.64,1.79,0.53,7502.25,8177.82,675.57,461291.2
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,PT_Gas,9.0,49336639.34,53779372.91,15.84,17.26,0.47,63296.51,68996.32,5699.81,4442733.57
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,PT_Diesel,9.0,2103493.92,2292912.23,0.68,0.74,1.47,8453.38,9214.6,761.22,189418.31
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,TBus_Diesel,7.38,51871.9,55700.23,0.03,0.03,3.07,436.98,469.24,32.25,3828.33
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,OBus_Diesel,7.38,162576.7,174575.45,0.1,0.11,5.06,2252.91,2419.18,166.27,11998.75
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,SBus_Diesel,7.38,108399.0,116399.24,0.07,0.07,2.62,776.99,834.33,57.34,8000.24
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,SBus_Gas,7.38,2005.83,2153.87,0.0,0.0,1.25,6.87,7.37,0.51,148.04
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,PC_Gas,-4.24,79311492.87,75950665.04,49.39,47.3,0.11,23714.26,22709.37,-1004.89,-3360827.83
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,PC_Diesel,-4.24,562178.61,538356.26,0.35,0.34,0.09,135.4,129.67,-5.74,-23822.34
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,MC_Gas,-11.71,396011.79,349637.38,0.13,0.11,0.76,821.06,724.91,-96.15,-46374.41
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,MC_Gas,-13.27,469143.18,406879.83,0.29,0.25,0.7,893.48,774.9,-118.58,-62263.35
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,CLhT_Diesel,-16.46,9919304.88,8286532.58,6.18,5.16,4.77,129553.43,108228.22,-21325.21,-1632772.3
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,CShT_Gas,-16.46,1167.19,975.06,0.0,0.0,0.68,2.16,1.8,-0.36,-192.13
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,3,CShT_Diesel,-16.46,8878936.32,7417414.42,5.53,4.62,4.03,98039.08,81901.31,-16137.77,-1461521.9
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,PC_Diesel,-32.23,1029979.77,698020.1,0.33,0.22,0.1,277.82,188.28,-89.54,-331959.67
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,PC_Gas,-32.23,145308328.1,98475850.92,46.64,31.61,0.12,48214.0,32674.76,-15539.24,-46832477.18
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,SBus_Diesel,-45.05,315997.05,173652.47,0.1,0.06,2.38,2059.1,1131.56,-927.55,-142344.58
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,SBus_Gas,-45.05,5847.26,3213.29,0.0,0.0,1.26,20.12,11.06,-9.06,-2633.97
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,OBus_Diesel,-45.05,550999.89,302795.52,0.18,0.1,4.98,7517.86,4131.35,-3386.51,-248204.37
NOX,Eastland,Brownwood,1.8038244474025382,2.284005602521586,0.4801811551190478,26.620171148611306,2,TBus_Diesel,-45.05,172629.6,94866.57,0.06,0.03,2.77,1309.84,719.81,-590.03,-77763.03
NOX,Tom Green,San Angelo,1.7183947357760436,1.990682356325087,0.27228762054904343,15.845464076452476,4,CShT_Diesel,616.83,528550.6,3788812.61,0.46,3.26,4.01,5799.97,41575.97,35776.0,3260262.01
NOX,Tom Green,San Angelo,1.7183947357760436,1.990682356325087,0.27228762054904343,15.845464076452476,4,CLhT_Diesel,616.83,909315.52,6518252.24,0.78,5.62,4.03,10046.04,72013.12,61967.07,5608936.71
