COG,County,NOx Emission 2020 + FY22 VMT-Mix,NOx Emission 2020 + FY23 VMT-Mix,FY23 - FY22 NOx,FY23 vs. FY22 NOx (% diff)
HGAC,Harris,36.95,36.5,-0.45,-1.22
NCTCOG,Dallas,23.92,23.97,0.06,0.24
AACOG,Bexar,21.17,22.73,1.56,7.38
NCTCOG,Tarrant,15.77,16.31,0.53,3.39
RIOCOG,El Paso,11.7,11.21,-0.48,-4.12
NCTCOG,Collin,6.8,6.74,-0.06,-0.92
NCTCOG,Denton,6.74,6.63,-0.11,-1.69
HGAC,Montgomery,5.85,5.44,-0.41,-6.94
NCTCOG,Ellis,4.85,4.71,-0.14,-2.95
HGAC,Fort Bend,4.67,4.39,-0.28,-6.01
HGAC,Brazoria,3.75,3.43,-0.32,-8.47
NCTCOG,Parker,3.73,3.43,-0.3,-8.0
NCTCOG,Kaufman,3.65,3.53,-0.12,-3.26
NCTCOG,Johnson,3.57,3.21,-0.35,-9.93
HGAC,Chambers,3.03,2.99,-0.04,-1.42
HGAC,Galveston,2.06,2.0,-0.06,-2.79
NCTCOG,Wise,1.89,1.63,-0.26,-13.62
HGAC,Waller,1.77,1.59,-0.18,-10.19
HGAC,Liberty,1.44,1.33,-0.11,-7.91
NCTCOG,Rockwall,1.3,1.26,-0.04,-2.81
